"Gettysburg Area School District","1","910","50","50"
"308","NeedGoogleMapsAPIKey","39.8294907","-77.2583117","1"
"309","NeedGoogleMapsAPIKey","39.826603","-77.2490733","1"
"310","NeedGoogleMapsAPIKey","39.8225473","-77.2569016","1"
"311","NeedGoogleMapsAPIKey","39.8245912","-77.2716839","1"
"312","NeedGoogleMapsAPIKey","39.8227924","-77.2557904","1"
"313","NeedGoogleMapsAPIKey","39.8244078","-77.2603099","1"
"314","NeedGoogleMapsAPIKey","39.8380238","-77.2660417","1"
"315","NeedGoogleMapsAPIKey","39.8312357","-77.2680476","1"
"316","NeedGoogleMapsAPIKey","39.8267829","-77.2647614","1"
"317","NeedGoogleMapsAPIKey","39.8250432","-77.2729449","1"
"318","NeedGoogleMapsAPIKey","39.8292206","-77.2732957","1"
"319","NeedGoogleMapsAPIKey","39.8291252","-77.274409","1"
"320","NeedGoogleMapsAPIKey","39.8269532","-77.2464347","1"
"321","NeedGoogleMapsAPIKey","39.8250203","-77.2780629","1"
"322","NeedGoogleMapsAPIKey","39.8335954","-77.2744246","1"
"323","NeedGoogleMapsAPIKey","39.8234756","-77.2636334","1"
"324","NeedGoogleMapsAPIKey","39.8064375","-77.297321","1"
"325","NeedGoogleMapsAPIKey","39.8339254","-77.2615599","1"
"326","NeedGoogleMapsAPIKey","39.8241509","-77.2807059","1"
"327","NeedGoogleMapsAPIKey","39.829304","-77.2681954","1"
"328","NeedGoogleMapsAPIKey","39.8309881","-77.2464489","1"
"329","NeedGoogleMapsAPIKey","39.8163792","-77.1923335","1"
"330","NeedGoogleMapsAPIKey","39.8097454","-77.1983114","1"
"331","NeedGoogleMapsAPIKey","39.8320026","-77.2244254","1"
"332","NeedGoogleMapsAPIKey","39.8181345","-77.1957296","1"
"333","NeedGoogleMapsAPIKey","39.8233378","-77.1945666","1"
"334","NeedGoogleMapsAPIKey","39.8308209","-77.2264361","1"
"335","NeedGoogleMapsAPIKey","39.8395527","-77.2090541","1"
"336","NeedGoogleMapsAPIKey","39.8425405","-77.2009136","1"
"337","NeedGoogleMapsAPIKey","39.8398171","-77.2067044","1"
"338","NeedGoogleMapsAPIKey","39.8303572","-77.2214227","1"
