"Gettysburg Area School District","5","2414","50","50"
"377","NeedGoogleMapsAPIKey","39.8250536","-77.2382968","1"
"378","NeedGoogleMapsAPIKey","39.8120172","-77.2209345","1"
"379","NeedGoogleMapsAPIKey","39.8259874","-77.2312709","1"
"380","NeedGoogleMapsAPIKey","39.823989","-77.2314878","1"
"381","NeedGoogleMapsAPIKey","39.8205524","-77.2354437","1"
"382","NeedGoogleMapsAPIKey","39.803092","-77.1830744","1"
"383","NeedGoogleMapsAPIKey","39.8035125","-77.1948567","1"
"384","NeedGoogleMapsAPIKey","39.8069875","-77.191384","1"
"385","NeedGoogleMapsAPIKey","39.8009717","-77.1855105","1"
"386","NeedGoogleMapsAPIKey","39.8047616","-77.1926843","1"
"387","NeedGoogleMapsAPIKey","39.8099057","-77.18988","1"
"388","NeedGoogleMapsAPIKey","39.808703","-77.1909728","1"
"389","NeedGoogleMapsAPIKey","39.8120844","-77.1914777","1"
"390","NeedGoogleMapsAPIKey","39.816395","-77.1825735","1"
"391","NeedGoogleMapsAPIKey","39.8077136","-77.1831712","1"
"392","NeedGoogleMapsAPIKey","39.8183022","-77.181341","1"
"393","NeedGoogleMapsAPIKey","39.8135633","-77.1855854","1"
"394","NeedGoogleMapsAPIKey","39.8105213","-77.1916155","1"
"395","NeedGoogleMapsAPIKey","39.8144056","-77.1841971","1"
"396","NeedGoogleMapsAPIKey","39.8111698","-77.191912","1"
"397","NeedGoogleMapsAPIKey","39.8131675","-77.1864632","1"
"398","NeedGoogleMapsAPIKey","39.8089158","-77.1919381","1"
"399","NeedGoogleMapsAPIKey","39.8122002","-77.1906249","1"
