"Conewago Valley School District","5","3189","50","50"
"321","NeedGoogleMapsAPIKey","39.7924488","-77.04575","1"
"322","NeedGoogleMapsAPIKey","39.7958189","-77.0468032","1"
"323","NeedGoogleMapsAPIKey","39.7845256","-77.0411015","1"
"324","NeedGoogleMapsAPIKey","39.7849292","-77.0415136","1"
"325","NeedGoogleMapsAPIKey","39.7854946","-77.0422072","1"
"326","NeedGoogleMapsAPIKey","39.7952898","-77.0416139","1"
"327","NeedGoogleMapsAPIKey","39.7907913","-77.0423352","1"
"328","NeedGoogleMapsAPIKey","39.7899971","-77.0449193","1"
"329","NeedGoogleMapsAPIKey","39.7955336","-77.0496045","1"
"330","NeedGoogleMapsAPIKey","39.7861468","-77.0462491","1"
"331","NeedGoogleMapsAPIKey","39.7929385","-77.0460164","1"
"332","NeedGoogleMapsAPIKey","39.797764","-77.0409758","1"
"333","NeedGoogleMapsAPIKey","39.7858628","-77.0478855","1"
"334","NeedGoogleMapsAPIKey","39.7875318","-77.0468281","1"
"335","NeedGoogleMapsAPIKey","39.7868639","-77.0446659","1"
"336","NeedGoogleMapsAPIKey","39.7903438","-77.0493069","1"
"337","NeedGoogleMapsAPIKey","39.7886566","-77.04566","1"
"338","NeedGoogleMapsAPIKey","39.7912673","-77.0508177","1"
"339","NeedGoogleMapsAPIKey","39.7941968","-77.0477062","1"
"340","NeedGoogleMapsAPIKey","39.7907934","-77.0433333","1"
"341","NeedGoogleMapsAPIKey","39.787107","-77.0439405","1"
"342","NeedGoogleMapsAPIKey","39.7888454","-77.0454436","1"
"343","NeedGoogleMapsAPIKey","39.8004058","-76.9997284","1"
"344","NeedGoogleMapsAPIKey","39.7991253","-76.9995941","1"
"345","NeedGoogleMapsAPIKey","39.8004066","-77.0034058","1"
"346","NeedGoogleMapsAPIKey","39.799192","-77.0038901","1"
"347","NeedGoogleMapsAPIKey","39.8000231","-77.0030267","1"
"348","NeedGoogleMapsAPIKey","39.7980277","-77.0016989","1"
"349","NeedGoogleMapsAPIKey","39.8002195","-77.0085019","1"
"350","NeedGoogleMapsAPIKey","39.7981262","-77.0000759","1"
"351","NeedGoogleMapsAPIKey","39.7973681","-76.9998414","1"
"352","NeedGoogleMapsAPIKey","39.7994617","-77.0008571","1"
"353","NeedGoogleMapsAPIKey","39.7996853","-76.9998743","1"
"354","NeedGoogleMapsAPIKey","39.7997801","-77.0082166","1"
"355","NeedGoogleMapsAPIKey","39.8008065","-77.0065999","1"
"356","NeedGoogleMapsAPIKey","39.8007023","-77.0017926","1"
"357","NeedGoogleMapsAPIKey","39.7999359","-77.0041018","1"
"358","NeedGoogleMapsAPIKey","39.7957264","-77.0033275","1"
"359","NeedGoogleMapsAPIKey","39.8005616","-77.0061148","1"
"360","NeedGoogleMapsAPIKey","39.7974078","-77.0023739","1"
"361","NeedGoogleMapsAPIKey","39.799053","-77.0098492","1"
"362","NeedGoogleMapsAPIKey","39.8007581","-77.0052307","1"
"363","NeedGoogleMapsAPIKey","39.7980369","-77.0111552","1"
"364","NeedGoogleMapsAPIKey","39.7959727","-77.0040624","1"
"365","NeedGoogleMapsAPIKey","39.7727568","-76.9997401","1"
"366","NeedGoogleMapsAPIKey","39.8002413","-77.0012575","1"
"367","NeedGoogleMapsAPIKey","39.7938493","-77.0014803","1"
"368","NeedGoogleMapsAPIKey","39.7964335","-77.0037635","1"
"369","NeedGoogleMapsAPIKey","39.8010917","-77.0024815","1"
"370","NeedGoogleMapsAPIKey","39.7991997","-77.0010264","1"
"371","NeedGoogleMapsAPIKey","39.8011113","-77.005303","1"
"372","NeedGoogleMapsAPIKey","39.8011918","-76.999889","1"
"373","NeedGoogleMapsAPIKey","39.8001486","-76.9997485","1"
"374","NeedGoogleMapsAPIKey","39.7976458","-77.0114791","1"
"375","NeedGoogleMapsAPIKey","39.7976275","-77.0036629","1"
"376","NeedGoogleMapsAPIKey","39.7890745","-77.0015323","1"
"377","NeedGoogleMapsAPIKey","39.7970755","-77.0039924","1"
"378","NeedGoogleMapsAPIKey","39.8004276","-77.0061592","1"
"379","NeedGoogleMapsAPIKey","39.799612","-77.0021868","1"
"380","NeedGoogleMapsAPIKey","39.7981501","-77.0019774","1"
"381","NeedGoogleMapsAPIKey","39.8006368","-77.0055461","1"
"382","NeedGoogleMapsAPIKey","39.7991385","-76.9996631","1"
"383","NeedGoogleMapsAPIKey","39.7994441","-77.0054423","1"
"384","NeedGoogleMapsAPIKey","39.7985419","-77.0003852","1"
"385","NeedGoogleMapsAPIKey","39.7977019","-77.0008304","1"
"386","NeedGoogleMapsAPIKey","39.7989199","-77.0106716","1"
"387","NeedGoogleMapsAPIKey","39.7969686","-76.9999755","1"
"388","NeedGoogleMapsAPIKey","39.8008814","-77.0059472","1"
"389","NeedGoogleMapsAPIKey","39.800731","-77.0011268","1"
"390","NeedGoogleMapsAPIKey","39.795104","-77.0028145","1"
"391","NeedGoogleMapsAPIKey","39.8006619","-77.0040311","1"
"392","NeedGoogleMapsAPIKey","39.800064","-77.0088474","1"
"393","NeedGoogleMapsAPIKey","39.7982064","-77.0098905","1"
"394","NeedGoogleMapsAPIKey","39.7960773","-77.0022784","1"
"395","NeedGoogleMapsAPIKey","39.8016532","-77.0025239","1"
"396","NeedGoogleMapsAPIKey","39.800767","-77.0003289","1"
"397","NeedGoogleMapsAPIKey","39.7966269","-77.0016099","1"
"398","NeedGoogleMapsAPIKey","39.8001409","-77.0012839","1"
"399","NeedGoogleMapsAPIKey","39.7994675","-77.0022301","1"
"400","NeedGoogleMapsAPIKey","39.7963657","-77.0061502","1"
