"Bermudian Springs School District","1","498","50","50"
"247","NeedGoogleMapsAPIKey","39.9619745","-77.1266672","1"
"248","NeedGoogleMapsAPIKey","39.9738325","-77.1197947","1"
"249","NeedGoogleMapsAPIKey","39.9672765","-77.1365977","1"
"250","NeedGoogleMapsAPIKey","39.9611281","-77.1276832","1"
"251","NeedGoogleMapsAPIKey","39.9587051","-77.123334","1"
"252","NeedGoogleMapsAPIKey","39.9529806","-77.1281696","1"
"253","NeedGoogleMapsAPIKey","39.9531498","-77.1239169","1"
"254","NeedGoogleMapsAPIKey","39.9798045","-77.1278116","1"
"255","NeedGoogleMapsAPIKey","39.9799176","-77.1277832","1"
"256","NeedGoogleMapsAPIKey","39.9523342","-77.1227203","1"
"257","NeedGoogleMapsAPIKey","39.9729372","-77.1363183","1"
"258","NeedGoogleMapsAPIKey","39.9640966","-77.1259249","1"
"259","NeedGoogleMapsAPIKey","39.9705773","-77.1199046","1"
"260","NeedGoogleMapsAPIKey","39.9529044","-77.1226944","1"
"261","NeedGoogleMapsAPIKey","39.9744154","-77.123197","1"
"262","NeedGoogleMapsAPIKey","39.9805355","-77.0543541","1"
"263","NeedGoogleMapsAPIKey","39.9749244","-77.0423992","1"
"264","NeedGoogleMapsAPIKey","39.9782828","-77.0305075","1"
"265","NeedGoogleMapsAPIKey","39.9785644","-77.0535243","1"
"266","NeedGoogleMapsAPIKey","39.9758296","-77.0389994","1"
"267","NeedGoogleMapsAPIKey","39.9774661","-77.0373284","1"
"268","NeedGoogleMapsAPIKey","39.9765343","-77.0480139","1"
"269","NeedGoogleMapsAPIKey","39.9799105","-77.0427239","1"
"270","NeedGoogleMapsAPIKey","39.9775488","-77.0489842","1"
"271","NeedGoogleMapsAPIKey","39.9763939","-77.044413","1"
"272","NeedGoogleMapsAPIKey","39.9794701","-77.0444624","1"
"273","NeedGoogleMapsAPIKey","39.9729416","-77.0409797","1"
"274","NeedGoogleMapsAPIKey","39.9870724","-77.0366078","1"
"275","NeedGoogleMapsAPIKey","39.9832253","-77.0363682","1"
"276","NeedGoogleMapsAPIKey","39.9797259","-77.0447935","1"
"277","NeedGoogleMapsAPIKey","39.9788197","-77.0359458","1"
"278","NeedGoogleMapsAPIKey","39.9831139","-77.0315549","1"
"279","NeedGoogleMapsAPIKey","39.980116","-77.0319148","1"
"280","NeedGoogleMapsAPIKey","39.9818195","-77.0425208","1"
"281","NeedGoogleMapsAPIKey","39.9771336","-77.0441758","1"
"282","NeedGoogleMapsAPIKey","39.9808857","-77.0328262","1"
"283","NeedGoogleMapsAPIKey","39.9759518","-77.040715","1"
"284","NeedGoogleMapsAPIKey","39.9831065","-77.0365229","1"
"285","NeedGoogleMapsAPIKey","39.9803884","-77.0322628","1"
"286","NeedGoogleMapsAPIKey","39.9775739","-77.0330502","1"
"287","NeedGoogleMapsAPIKey","39.9756093","-77.0411485","1"
"288","NeedGoogleMapsAPIKey","39.983688","-77.0346646","1"
"289","NeedGoogleMapsAPIKey","39.9805405","-77.0537969","1"
"290","NeedGoogleMapsAPIKey","39.9870563","-77.0355381","1"
"291","NeedGoogleMapsAPIKey","39.9844152","-77.0339661","1"
"292","NeedGoogleMapsAPIKey","39.9778054","-77.0442697","1"
"293","NeedGoogleMapsAPIKey","39.9780909","-77.0351249","1"
"294","NeedGoogleMapsAPIKey","39.9781517","-77.0501973","1"
"295","NeedGoogleMapsAPIKey","39.9770393","-77.0484546","1"
"296","NeedGoogleMapsAPIKey","39.9756809","-77.0388905","1"
"297","NeedGoogleMapsAPIKey","39.9799176","-77.0328149","1"
"298","NeedGoogleMapsAPIKey","39.9761177","-77.0457586","1"
"299","NeedGoogleMapsAPIKey","39.9792164","-77.0476829","1"
"300","NeedGoogleMapsAPIKey","39.9807562","-77.0551865","1"
"301","NeedGoogleMapsAPIKey","39.9784626","-77.0416771","1"
"302","NeedGoogleMapsAPIKey","39.9772112","-77.0400601","1"
"303","NeedGoogleMapsAPIKey","39.9789456","-77.0369537","1"
"304","NeedGoogleMapsAPIKey","39.9758786","-77.0433873","1"
"305","NeedGoogleMapsAPIKey","39.9781595","-77.0321998","1"
"306","NeedGoogleMapsAPIKey","39.9781715","-77.0315014","1"
"307","NeedGoogleMapsAPIKey","39.9845554","-77.0488576","1"
"308","NeedGoogleMapsAPIKey","39.977316","-77.0339592","1"
"309","NeedGoogleMapsAPIKey","39.9751153","-77.0432909","1"
"310","NeedGoogleMapsAPIKey","39.9821176","-77.053723","1"
"311","NeedGoogleMapsAPIKey","39.9840042","-77.0361145","1"
"312","NeedGoogleMapsAPIKey","39.978823","-77.0411525","1"
"313","NeedGoogleMapsAPIKey","39.9822993","-77.0311855","1"
"314","NeedGoogleMapsAPIKey","39.9810766","-77.0373346","1"
"315","NeedGoogleMapsAPIKey","39.9792745","-77.0445831","1"
"316","NeedGoogleMapsAPIKey","39.9770533","-77.0418746","1"
"317","NeedGoogleMapsAPIKey","39.981622","-77.030502","1"
"318","NeedGoogleMapsAPIKey","39.9825209","-77.0356725","1"
"319","NeedGoogleMapsAPIKey","39.9853417","-77.0479566","1"
"320","NeedGoogleMapsAPIKey","39.9777525","-77.0316343","1"
"321","NeedGoogleMapsAPIKey","39.9852868","-77.0337603","1"
"322","NeedGoogleMapsAPIKey","39.9794738","-77.0554377","1"
"323","NeedGoogleMapsAPIKey","39.9804672","-77.0438613","1"
"324","NeedGoogleMapsAPIKey","39.9808625","-77.0373761","1"
"325","NeedGoogleMapsAPIKey","39.9840176","-77.0502958","1"
"326","NeedGoogleMapsAPIKey","39.9766677","-77.0356387","1"
"327","NeedGoogleMapsAPIKey","39.9763941","-77.0395895","1"
"328","NeedGoogleMapsAPIKey","39.9799402","-77.0542328","1"
"329","NeedGoogleMapsAPIKey","39.9798156","-77.0532794","1"
"330","NeedGoogleMapsAPIKey","39.9803819","-77.0306959","1"
"331","NeedGoogleMapsAPIKey","39.9831521","-77.0335517","1"
"332","NeedGoogleMapsAPIKey","39.9779627","-77.0322963","1"
"333","NeedGoogleMapsAPIKey","39.9812562","-77.032254","1"
"334","NeedGoogleMapsAPIKey","39.9771521","-77.0434309","1"
"335","NeedGoogleMapsAPIKey","39.9778717","-77.0460316","1"
"336","NeedGoogleMapsAPIKey","39.9815898","-77.0352841","1"
"337","NeedGoogleMapsAPIKey","39.9774663","-77.0357571","1"
"338","NeedGoogleMapsAPIKey","39.9788642","-77.0524267","1"
"339","NeedGoogleMapsAPIKey","39.9824262","-77.0516232","1"
"340","NeedGoogleMapsAPIKey","39.9769292","-77.0472723","1"
"341","NeedGoogleMapsAPIKey","39.9803808","-77.0372003","1"
"342","NeedGoogleMapsAPIKey","39.984787","-77.1233788","1"
"343","NeedGoogleMapsAPIKey","39.9800392","-77.101952","1"
"344","NeedGoogleMapsAPIKey","39.9906968","-77.1171009","1"
"345","NeedGoogleMapsAPIKey","39.981896","-77.1009079","1"
"346","NeedGoogleMapsAPIKey","39.9857327","-77.1239107","1"
"347","NeedGoogleMapsAPIKey","39.9951097","-77.1112702","1"
"348","NeedGoogleMapsAPIKey","39.9925336","-77.1127445","1"
"349","NeedGoogleMapsAPIKey","39.9853581","-77.1161258","1"
